iter	Passed	Remaining
237	871	2788
238	872	2777
239	873	2765
240	876	2759
241	877	2749
242	881	2745
243	882	2735
244	884	2725
245	885	2714
246	886	2703
247	887	2692
248	893	2694
249	894	2684
250	896	2674
251	898	2665
252	899	2655
253	901	2646
254	903	2639
255	910	2646
256	913	2641
257	915	2632
258	921	2635
259	922	2626
260	924	2617
261	926	2608
262	927	2598
263	928	2589
264	930	2579
265	931	2570
266	932	2561
267	935	2555
268	937	2548
269	939	2541
270	941	2531
271	942	2522
272	943	2513
273	945	2505
274	948	2499
275	950	2494
276	952	2485
277	953	2477
278	955	2468
279	957	2461
280	958	2452
281	959	2443
282	961	2436
283	963	2427
284	964	2419
285	965	2411
286	967	2403
287	971	2402
288	973	2395
289	975	2388
290	977	2381
291	978	2373
292	980	2365
293	981	2358
294	983	2351
295	985	2343
296	986	2336
297	989	2330
298	992	2326
299	994	2319
300	995	2312
301	996	2304
302	999	2298
303	1000	2290
304	1001	2282
305	1003	2275
306	1004	2267
307	1007	2262
308	1008	2255
309	1011	2252
310	1013	2245
311	1014	2238
312	1015	2229
313	1017	2222
314	1018	2214
315	1019	2207
316	1024	2207
317	1025	2200
318	1026	2192
319	1028	2184
320	1029	2178
321	1030	2170
322	1032	2163
323	1033	2156
324	1034	2149
325	1037	2145
326	1039	2139
327	1040	2132
328	1042	2126
329	1044	2121
330	1058	2138
331	1059	2131
332	1060	2125
333	1062	2117
334	1063	2110
335	1064	2103
336	1066	2097
337	1067	2091
338	1069	2084
339	1070	2078
340	1072	2071
341	1073	2065
342	1075	2060
343	1076	2053
344	1078	2046
345	1079	2040
346	1080	2034
347	1083	2029
348	1087	2028
349	1088	2021
350	1090	2015
351	1091	2009
352	1092	2003
353	1094	1996
354	1095	1990
355	1096	1983
356	1098	1978
357	1101	1974
358	1102	1969
359	1104	1963
360	1106	1957
361	1107	1951
362	1108	1945
363	1110	1940
364	1113	1936
365	1114	1931
366	1116	1925
367	1117	1919
368	1118	1913
369	1120	1907
370	1121	1901
371	1122	1894
372	1124	1889
373	1125	1883
374	1126	1877
375	1130	1876
376	1133	1872
377	1134	1867
378	1136	1861
379	1139	1859
380	1140	1853
381	1143	1849
382	1145	1844
383	1146	1839
384	1148	1834
385	1150	1829
386	1152	1824
387	1153	1820
388	1155	1814
389	1158	1811
390	1159	1806
391	1161	1800
392	1162	1795
393	1164	1790
394	1165	1785
395	1167	1780
396	1168	1775
397	1170	1770
398	1176	1771
399	1177	1766
400	1179	1761
401	1180	1756
402	1182	1751
403	1183	1746
404	1184	1740
405	1185	1735
406	1187	1730
407	1189	1726
408	1191	1721
409	1193	1717
410	1194	1712
411	1196	1707
412	1197	1702
413	1198	1697
414	1200	1692
415	1202	1688
416	1203	1683
417	1205	1678
418	1207	1674
419	1208	1669
420	1210	1665
421	1214	1663
422	1216	1658
423	1217	1654
424	1219	1650
425	1221	1645
426	1223	1641
427	1224	1636
428	1225	1631
429	1227	1626
430	1229	1622
431	1230	1617
432	1231	1612
433	1233	1608
434	1234	1603
435	1236	1599
436	1237	1594
437	1238	1589
438	1239	1584
439	1241	1580
440	1242	1575
441	1244	1570
442	1245	1565
443	1246	1560
444	1248	1557
445	1250	1552
446	1251	1548
447	1253	1544
448	1254	1539
449	1256	1535
450	1257	1530
451	1258	1525
452	1259	1520
453	1261	1517
454	1263	1513
455	1264	1508
456	1266	1504
457	1267	1500
458	1269	1496
459	1270	1491
460	1271	1487
461	1273	1482
462	1274	1477
463	1276	1474
464	1277	1470
465	1279	1465
466	1280	1461
467	1282	1457
468	1283	1453
469	1285	1449
470	1286	1444
471	1287	1440
472	1290	1437
473	1294	1436
474	1296	1432
475	1297	1428
476	1298	1424
477	1300	1419
478	1301	1415
479	1302	1411
480	1303	1406
481	1306	1403
482	1307	1399
483	1309	1395
484	1310	1391
485	1311	1387
486	1313	1383
487	1314	1379
488	1315	1375
489	1317	1370
490	1318	1366
491	1321	1364
492	1322	1360
493	1323	1355
494	1325	1351
495	1326	1347
496	1327	1343
497	1328	1339
498	1329	1335
499	1331	1331
500	1332	1327
501	1333	1323
502	1335	1319
503	1337	1316
504	1338	1312
505	1340	1308
506	1341	1304
507	1343	1300
508	1344	1296
509	1345	1293
510	1347	1289
511	1348	1285
512	1351	1282
513	1353	1280
514	1355	1276
515	1357	1273
516	1359	1269
517	1360	1266
518	1362	1262
519	1363	1258
520	1371	1260
521	1372	1256
522	1374	1253
523	1375	1249
524	1376	1245
525	1377	1241
526	1379	1238
527	1383	1237
528	1385	1233
529	1387	1230
530	1389	1226
531	1390	1223
532	1391	1219
533	1393	1215
534	1394	1211
535	1396	1209
536	1398	1205
537	1399	1201
538	1400	1198
539	1402	1194
540	1403	1190
541	1404	1187
542	1406	1183
543	1407	1180
544	1409	1176
545	1422	1182
546	1424	1179
547	1426	1176
548	1430	1174
549	1432	1171
550	1434	1168
551	1436	1165
552	1442	1166
553	1446	1164
554	1452	1164
555	1463	1168
556	1464	1164
557	1465	1161
558	1467	1157
559	1471	1156
560	1473	1153
561	1475	1149
562	1476	1145
563	1477	1142
564	1479	1138
565	1480	1135
566	1494	1141
567	1498	1139
568	1500	1136
569	1501	1132
570	1503	1129
571	1504	1125
572	1505	1122
573	1507	1118
574	1508	1114
575	1509	1111
576	1511	1108
577	1514	1105
578	1516	1102
579	1517	1098
580	1520	1096
581	1522	1093
582	1523	1089
583	1525	1086
584	1526	1082
585	1528	1079
586	1530	1076
587	1535	1075
588	1536	1072
589	1538	1068
590	1539	1065
591	1541	1062
592	1542	1058
593	1544	1055
594	1545	1052
595	1547	1048
596	1549	1045
597	1551	1042
598	1552	1039
599	1553	1035
600	1554	1032
601	1555	1028
602	1557	1025
603	1559	1022
604	1562	1020
605	1564	1017
606	1565	1013
607	1567	1010
608	1569	1007
609	1570	1004
610	1571	1000
611	1573	997
612	1575	994
613	1579	992
614	1582	990
615	1584	987
616	1585	984
617	1588	981
618	1592	980
619	1594	977
620	1596	974
621	1597	970
622	1598	967
623	1600	964
624	1601	960
625	1602	957
626	1605	955
627	1615	957
628	1617	954
629	1619	950
630	1624	950
631	1625	946
632	1627	943
633	1628	940
634	1629	936
635	1631	933
636	1632	930
637	1633	926
638	1636	924
639	1638	921
640	1639	918
641	1640	914
642	1641	911
643	1643	908
644	1644	905
645	1645	901
646	1646	898
647	1647	895
648	1649	892
649	1651	889
650	1653	886
651	1657	884
652	1659	881
653	1660	878
654	1662	875
655	1668	875
656	1670	872
657	1671	868
658	1673	865
659	1674	862
660	1675	859
661	1676	856
662	1678	853
663	1679	849
664	1687	850
665	1689	847
666	1690	843
667	1691	840
668	1694	838
669	1697	835
670	1698	833
671	1700	829
672	1702	827
673	1703	824
674	1704	820
675	1705	817
676	1707	814
677	1708	811
678	1709	808
679	1714	806
680	1715	803
681	1716	800
682	1718	797
683	1719	794
684	1721	791
685	1722	788
686	1724	785
687	1725	782
688	1732	782
689	1734	779
690	1735	775
691	1736	772
692	1737	769
693	1738	766
694	1740	763
695	1743	761
696	1745	758
697	1748	756
698	1749	753
699	1752	750
700	1754	748
701	1756	745
702	1759	743
703	1761	740
704	1762	737
705	1764	734
706	1764	731
707	1766	728
708	1767	725
709	1768	722
710	1770	719
711	1776	718
712	1777	715
713	1778	712
714	1779	709
715	1780	706
716	1781	703
717	1782	700
718	1784	697
719	1785	694
720	1787	691
721	1789	688
722	1792	686
723	1793	683
724	1795	680
725	1799	679
726	1800	676
727	1803	673
728	1808	672
729	1810	669
730	1811	666
731	1813	663
732	1814	660
733	1815	657
734	1816	654
735	1818	652
736	1821	649
737	1823	647
738	1825	644
739	1826	641
740	1828	638
741	1829	636
742	1832	633
743	1834	631
744	1835	628
745	1837	625
746	1838	622
747	1839	619
748	1841	617
749	1842	614
750	1844	611
751	1846	609
752	1852	607
753	1853	604
754	1855	602
755	1857	599
756	1858	596
757	1860	593
758	1862	591
759	1864	588
760	1865	585
761	1866	583
762	1867	580
763	1868	577
764	1869	574
765	1870	571
766	1871	568
767	1872	565
768	1874	563
769	1876	560
770	1877	557
771	1878	554
772	1880	552
773	1881	549
774	1882	546
775	1883	543
776	1884	540
777	1885	538
778	1886	535
779	1888	532
780	1889	529
781	1894	528
782	1895	525
783	1897	522
784	1898	520
785	1899	517
786	1901	514
787	1903	512
788	1905	509
789	1908	507
790	1910	504
791	1912	502
792	1913	499
793	1914	496
794	1915	493
795	1916	491
796	1917	488
797	1918	485
798	1919	482
799	1925	481
800	1926	478
801	1927	475
802	1928	473
803	1929	470
804	1930	467
805	1931	464
806	1933	462
807	1934	459
808	1935	456
809	1938	454
810	1940	452
811	1941	449
812	1942	446
813	1943	444
814	1944	441
815	1945	438
816	1946	436
817	1947	433
818	1948	430
819	1949	427
820	1950	425
821	1952	422
822	1953	420
823	1954	417
824	1955	414
825	1956	412
826	1957	409
827	1958	406
828	1959	404
829	1960	401
830	1961	398
831	1962	396
832	1963	393
833	1964	391
834	1965	388
835	1967	386
836	1968	383
837	1969	380
838	1971	378
839	1972	375
840	1973	373
841	1974	370
842	1975	367
843	1976	365
844	1978	362
845	1979	360
846	1980	357
847	1983	355
848	1985	353
849	1986	350
850	1987	348
851	1988	345
852	1990	342
853	1990	340
854	1991	337
855	1993	335
856	1994	332
857	1995	330
858	1996	327
859	1997	325
860	1998	322
861	1999	320
862	2001	317
863	2002	315
864	2003	312
865	2004	310
866	2005	307
867	2006	305
868	2007	302
869	2008	300
870	2009	297
871	2010	295
872	2014	293
873	2016	290
874	2017	288
875	2018	285
876	2019	283
877	2020	280
878	2021	278
879	2022	275
880	2023	273
881	2024	270
882	2026	268
883	2028	266
884	2029	263
885	2031	261
886	2032	258
887	2033	256
888	2035	254
889	2036	251
890	2037	249
891	2038	246
892	2039	244
893	2040	241
894	2046	240
895	2048	237
896	2049	235
897	2050	232
898	2051	230
899	2052	228
900	2053	225
901	2054	223
902	2055	220
903	2057	218
904	2059	216
905	2060	213
906	2061	211
907	2062	208
908	2063	206
909	2064	204
910	2065	201
911	2066	199
912	2068	197
913	2068	194
914	2069	192
915	2070	189
916	2072	187
917	2073	185
918	2074	182
919	2075	180
920	2076	178
921	2077	175
922	2078	173
923	2079	171
924	2080	168
925	2081	166
926	2082	164
927	2083	161
928	2084	159
929	2085	156
930	2087	154
931	2089	152
932	2090	150
933	2091	147
934	2092	145
935	2093	143
936	2094	140
937	2095	138
938	2096	136
939	2097	133
940	2098	131
941	2099	129
942	2100	126
943	2101	124
944	2103	122
945	2104	120
946	2105	117
947	2107	115
948	2108	113
949	2109	111
950	2110	108
951	2111	106
952	2113	104
953	2114	101
954	2115	99
955	2116	97
956	2117	95
957	2119	92
958	2120	90
959	2121	88
960	2122	86
961	2123	83
962	2124	81
963	2125	79
964	2127	77
965	2128	74
966	2129	72
967	2130	70
968	2136	68
969	2137	66
970	2139	63
971	2140	61
972	2141	59
973	2142	57
974	2143	54
975	2144	52
976	2145	50
977	2148	48
978	2151	46
979	2152	43
980	2153	41
981	2154	39
982	2154	37
983	2155	35
984	2156	32
985	2157	30
986	2158	28
987	2159	26
988	2164	24
989	2165	21
990	2167	19
991	2168	17
992	2169	15
993	2170	13
994	2171	10
995	2172	8
996	2173	6
997	2174	4
998	2175	2
999	2177	0
